Organism,Antibiotic,Antibiotic (name),Breakpoint confidence,Country,N,% censored,MIC50,MIC90,GeoMean,P25,P75,IQR_log2,Skewness,Kurtosis,Modal_MIC,PctR
Haemophilus influenzae,MXF,Moxifloxacin,low,Singapore,80,1.25,0.015,0.03,0.0232,0.015,0.03,1.0,3.393,13.402,0.015,1.25
Haemophilus influenzae,MXF,Moxifloxacin,low,Tunisia,74,4.05,0.03,0.06,0.0299,0.015,0.03,1.0,3.077,9.845,0.03,4.05
Haemophilus influenzae,MXF,Moxifloxacin,low,Turkey,239,5.02,0.015,0.06,0.0251,0.015,0.03,1.0,2.875,8.471,0.015,4.6
Haemophilus influenzae,MXF,Moxifloxacin,low,Ukraine,99,3.03,0.015,0.03,0.0189,0.015,0.03,1.0,-0.649,1.19,0.015,0.0
Haemophilus influenzae,MXF,Moxifloxacin,low,Vietnam,89,5.62,0.5,8.0,0.449,0.015,8.0,9.059,-0.238,-1.586,8.0,42.7
Haemophilus influenzae,CDN,Cefdinir,moderate,Argentina,89,95.51,0.03,0.03,0.0314,0.03,0.03,0.0,5.088,25.431,0.03,0.0
Haemophilus influenzae,CDN,Cefdinir,moderate,Cambodia,30,86.67,0.03,0.06,0.0353,0.03,0.03,0.0,4.145,17.312,0.03,0.0
Haemophilus influenzae,CDN,Cefdinir,moderate,Chile,77,98.7,0.03,0.03,0.0305,0.03,0.03,0.0,8.603,72.013,0.03,0.0
Haemophilus influenzae,CDN,Cefdinir,moderate,Costa Rica,52,96.15,0.03,0.03,0.0308,0.03,0.03,0.0,4.8,21.04,0.03,0.0
Haemophilus influenzae,CDN,Cefdinir,moderate,Pakistan,122,90.16,0.03,0.03,0.0338,0.03,0.03,0.0,4.135,18.556,0.03,0.0
Haemophilus influenzae,CDN,Cefdinir,moderate,Philippines,59,94.92,0.03,0.03,0.0314,0.03,0.03,0.0,4.939,24.775,0.03,0.0
Haemophilus influenzae,CDN,Cefdinir,moderate,Saudi Arabia,55,85.45,0.03,0.06,0.0363,0.03,0.03,0.0,5.688,34.758,0.03,1.82
Haemophilus influenzae,CDN,Cefdinir,moderate,Singapore,80,86.25,0.03,0.06,0.0384,0.03,0.03,0.0,2.701,5.886,0.03,0.0
Haemophilus influenzae,CDN,Cefdinir,moderate,Tunisia,74,89.19,0.03,0.06,0.0343,0.03,0.03,0.0,3.75,13.464,0.03,0.0
Haemophilus influenzae,CDN,Cefdinir,moderate,Turkey,239,88.7,0.03,0.06,0.0353,0.03,0.03,0.0,4.28,19.574,0.03,0.42
Haemophilus influenzae,CDN,Cefdinir,moderate,Ukraine,99,89.9,0.03,0.06,0.0329,0.03,0.03,0.0,5.694,39.634,0.03,0.0
Haemophilus influenzae,CDN,Cefdinir,moderate,Vietnam,89,7.87,0.12,0.25,0.111,0.06,0.12,1.0,0.479,0.518,0.12,0.0
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Argentina,89,3.37,0.25,0.5,0.2123,0.12,0.25,1.059,-0.014,1.017,0.25,1.12
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Cambodia,30,0.0,0.25,1.0,0.3065,0.25,0.4375,0.807,0.773,0.134,0.25,0.0
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Chile,77,1.3,0.25,0.5,0.2282,0.25,0.25,0.0,-0.613,1.636,0.25,0.0
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Costa Rica,52,0.0,0.25,0.5,0.3077,0.25,0.5,1.0,0.555,0.885,0.25,1.92
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Pakistan,122,0.82,0.25,0.5,0.2384,0.25,0.25,0.0,-0.643,2.755,0.25,0.0
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Philippines,59,5.08,0.12,0.25,0.1642,0.12,0.25,1.059,-0.398,1.039,0.25,0.0
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Saudi Arabia,55,1.82,0.25,1.0,0.2923,0.25,0.5,1.0,0.359,1.582,0.25,3.64
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Singapore,80,0.0,0.5,1.0,0.5077,0.25,1.0,2.0,0.597,0.486,0.25,7.5
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Tunisia,74,0.0,0.25,0.5,0.2852,0.25,0.5,1.0,0.462,0.114,0.25,1.35
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Turkey,239,0.84,0.25,0.5,0.2819,0.25,0.5,1.0,0.279,1.263,0.25,2.51
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Ukraine,99,0.0,0.25,0.5,0.2386,0.12,0.25,1.059,0.149,-0.103,0.25,0.0
Haemophilus influenzae,DIN,Cefdinir (alternate code - see note),low,Vietnam,89,0.0,1.0,8.0,1.4727,1.0,4.0,2.0,0.033,0.009,1.0,43.82
Escherichia coli,AMP,Ampicillin,high,Argentina,106,56.6,128.0,128.0,30.369,4.0,128.0,5.0,-0.566,-1.534,128.0,61.32
Escherichia coli,AMC,Amoxicillin/Clavulanic acid,moderate,Argentina,106,0.94,16.0,32.0,13.0642,4.0,32.0,3.0,-0.166,-0.856,32.0,60.38
Escherichia coli,AXO,Ceftriaxone,high,Argentina,106,5.66,0.03,0.06,0.0463,0.03,0.06,1.0,2.792,7.744,0.03,5.66
Escherichia coli,FIX,Cefixime,moderate,Argentina,106,4.72,0.25,1.0,0.4199,0.25,0.5,1.0,2.261,5.902,0.25,7.55
Escherichia coli,SXT,Trimethoprim/Sulfamethoxazole,high,Argentina,106,40.57,0.25,16.0,0.78,0.06,16.0,8.059,0.136,-1.837,16.0,42.45
Escherichia coli,LEV,Levofloxacin,high,Argentina,106,27.36,0.25,4.0,0.2388,0.03,4.0,7.059,0.244,-1.624,0.03,28.3
Klebsiella pneumoniae,AMC,Amoxicillin/Clavulanic acid,moderate,Argentina,73,4.11,4.0,64.0,9.2246,4.0,16.0,2.0,1.082,-0.142,4.0,28.77
Klebsiella pneumoniae,AXO,Ceftriaxone,high,Argentina,73,19.18,0.06,2.0,0.1022,0.03,0.12,2.0,1.062,-0.362,0.03,19.18
Klebsiella pneumoniae,FIX,Cefixime,moderate,Argentina,73,32.88,0.12,32.0,0.2084,0.06,0.25,2.059,1.477,0.635,0.06,16.44
Klebsiella pneumoniae,SXT,Trimethoprim/Sulfamethoxazole,high,Argentina,73,27.4,0.25,16.0,0.692,0.12,16.0,7.059,0.637,-1.3,0.12,28.77
Klebsiella pneumoniae,LEV,Levofloxacin,high,Argentina,73,12.33,0.06,4.0,0.1766,0.06,0.5,3.059,0.842,-0.571,0.06,12.33
Klebsiella pneumoniae,PEN,Penicillin,n/a,Argentina,73,79.45,4.0,4.0,3.4362,4.0,4.0,0.0,-3.526,10.773,4.0,
